Title.1,Artist(s).1,URL.1
Dakiti,Bad Bunny And Jhay Cortez,https://www.youtube.com/watch?v=TmKh7lAwnBI
Fuera Del Mercado,Danny Ocean,https://www.youtube.com/watch?v=49-zy-63biM
Sweet Child O' Mine,Guns N' Roses,https://www.youtube.com/watch?v=1w7OgIMMRc4
Hold My Hand,Lady Gaga,https://www.youtube.com/watch?v=O2CIAKVTOrc
The Nights,Avicii,https://www.youtube.com/watch?v=UtF6Jej8yb4
Last Last,Burna Boy,https://www.youtube.com/watch?v=421w1j87fEM
Después De La Playa,Bad Bunny,https://www.youtube.com/watch?v=a5rlgE6dcBY
Jordan,Ryan Castro,https://www.youtube.com/watch?v=oFKu8wm7RcA
Locked Out Of Heaven,Bruno Mars,https://www.youtube.com/watch?v=e-fA-gBCkj0
Deja Vu,Olivia Rodrigo,https://www.youtube.com/watch?v=cii6ruuycQA
Do I Wanna Know?,Arctic Monkeys,https://www.youtube.com/watch?v=bpOSxM0rNPM
Leave The Door Open,Silk Sonic (Bruno Mars And Anderson .Paak),https://www.youtube.com/watch?v=adLGHcj_fmA
Betelgeuse,Yuuri,https://www.youtube.com/watch?v=cbqvxDTLMps
Jimmy Cooks,Drake Featuring 21 Savage,https://www.youtube.com/watch?v=V7UgPHjN9qE
Bad Habit,Steve Lacy,https://www.youtube.com/watch?v=VF-FGf_ZZiI
Where Did You Go?,Jax Jones Featuring Mnek,https://www.youtube.com/watch?v=iqVLISbFZPc
She'S All I Wanna Be,Tate Mcrae,https://www.youtube.com/watch?v=uS_y_65CcpA
La Fama (Song),Rosalía Featuring The Weeknd,https://www.youtube.com/watch?v=e-CEd6xrRQc
Un Ratito,Bad Bunny,https://www.youtube.com/watch?v=tGhyQ7KanMU
Closer,The Chainsmokers Featuring Halsey,https://www.youtube.com/watch?v=0zGcUoRlhmw
Boyfriend,Dove Cameron,https://www.youtube.com/watch?v=SOn3_0Oav0k
Super Freaky Girl,Nicki Minaj,https://www.youtube.com/watch?v=j5uAR9w7LBg
Belly Dancer,Imanbek And Byor,https://www.youtube.com/watch?v=bEacVcAtiKU
Die For You,The Weeknd,https://www.youtube.com/watch?v=uPD0QOGTmMI
Mood,24Kgoldn Featuring Iann Dior,https://www.youtube.com/watch?v=GrAchTdepsU
Volví,Aventura And Bad Bunny,https://www.youtube.com/watch?v=ayd3yWr4tqU
Ojos Marrones,Lasso,https://www.youtube.com/watch?v=2BabCBQysrU
Don'T Be Shy,Tiësto And Karol G,https://www.youtube.com/watch?v=taSubkjZUA4
Eleven,Ive,https://www.youtube.com/watch?v=--FmExEAsM8
Pop!,Nayeon,https://www.youtube.com/watch?v=f6YDKF0LVWw
Malvadao 3,"Xama, Gustah And Neo Beats",https://www.youtube.com/watch?v=i9NOkjmBszo
Acapulco,Jason Derulo,https://www.youtube.com/watch?v=dx3wZfHF4c4
Take My Breath,The Weeknd,https://www.youtube.com/watch?v=rhTl_OyehF8
Andrea,Bad Bunny And Buscabulla,https://www.youtube.com/watch?v=gjvTQTGogUM
Vegas,Doja Cat,https://www.youtube.com/watch?v=QZp2biJul1c
Habit,Sekai No Owari,https://www.youtube.com/watch?v=8OZDgBmehbA
The Business,Tiësto,https://www.youtube.com/watch?v=nCg3ufihKyU
I Love You So,The Walters,https://www.youtube.com/watch?v=HZX7MB_m13M
Wait For U,Future Featuring Drake And Tems,https://www.youtube.com/watch?v=rP09GUQFDFk
Rolling In The Deep,Adele,https://www.youtube.com/watch?v=rYEDA3JcQqw
Astronaut In The Ocean,Masked Wolf,https://www.youtube.com/watch?v=MEg-oqI9qmw
La Llevo Al Cielo,"Chris Jedi, Chencho Corleone, Anuel Aa And Ñengo Flow",https://www.youtube.com/watch?v=GEy_XBp-hLo
Yoru Ni Kakeru,Yoasobi,https://www.youtube.com/watch?v=QdnVT22LBBs
Sacrifice,The Weeknd,https://www.youtube.com/watch?v=VafTMsrnSTU
Yet To Come (The Most Beautiful Moment),Bts,https://www.youtube.com/watch?v=kXpOEzNZ8hQ
Un Coco,Bad Bunny,https://www.youtube.com/watch?v=lH3d69sbvX4
Wellerman,Nathan Evans,https://www.youtube.com/watch?v=qP-7GNoDJ5c
After Like,Ive,https://www.youtube.com/watch?v=F0B7HDiY-10
Fearless,Le Sserafim,https://www.youtube.com/watch?v=4vbDFu0PUew
Afraid To Feel,Lf System,https://www.youtube.com/watch?v=EPVdGy9SBHI
Payphone,Maroon 5 Featuring Wiz Khalifa,https://www.youtube.com/watch?v=KRaWnd3LJfs
Hype Boy,Newjeans,https://www.youtube.com/watch?v=11cta61wi0g
Don'T You Worry,"Black Eyed Peas, Shakira And David Guetta",https://www.youtube.com/watch?v=me19SUmWu2s
Dos Mil 16,Bad Bunny,https://www.youtube.com/watch?v=czx0dQe-3uk
Someone Like You,Adele,https://www.youtube.com/watch?v=hLQl3WQQoQ0
That That,Psy Featuring Suga,https://www.youtube.com/watch?v=8dJyRm2jJ-U
Can'T Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,https://www.youtube.com/watch?v=2zNSgSzhBfM
Numb,Marshmello And Khalid,https://www.youtube.com/watch?v=mRXKnG2eugU
