No.,Billboard Global 200,Billboard Global Excl. U.S.
Title,Artist(s),Title,Artist(s)
155,"""Rockin' Around the Christmas Tree""",Brenda Lee,"""Betelgeuse""",Yuuri
156,"""Last Last""",Burna Boy,"""Jimmy Cooks""",Drake featuring 21 Savage
157,"""Money""",Lisa,"""Bad Habit""",Steve Lacy
158,"""Ferrari""",James Hype and Miggy Dela Rosa,"""Where Did You Go?""",Jax Jones featuring MNEK
159,"""Todo de Ti""",Rauw Alejandro,"""She's All I Wanna Be""",Tate McRae
160,"""Love Dive""",Ive,"""La Fama (song)""",Rosalía featuring The Weeknd
161,"""There's Nothing Holdin' Me Back""",Shawn Mendes,"""Un Ratito""",Bad Bunny
162,"""Wasted on You""",Morgan Wallen,"""Closer""",The Chainsmokers featuring Halsey
163,"""The Kind of Love We Make""",Luke Combs,"""Boyfriend""",Dove Cameron
164,"""Cuff It""",Beyoncé,"""Super Freaky Girl""",Nicki Minaj
165,"""Fingers Crossed""",Lauren Spencer-Smith,"""Belly Dancer""",Imanbek and Byor
166,"""Toxic""",BoyWithUke,"""Die for You""",The Weeknd
167,"""Jingle Bell Rock""",Bobby Helms,"""Mood""",24kGoldn featuring Iann Dior
168,"""Only Love Can Hurt Like This""",Paloma Faith,"""Volví""",Aventura and Bad Bunny
169,"""I Hate U""",SZA,"""Ojos Marrones""",Lasso
170,"""Every Breath You Take""",The Police,"""Don't Be Shy""",Tiësto and Karol G
171,"""Un Coco""",Bad Bunny,"""Eleven""",Ive
172,"""Fancy Like""",Walker Hayes,"""Pop!""",Nayeon
173,"""Andrea""",Bad Bunny and Buscabulla,"""Malvadao 3""","Xama, Gustah and Neo Beats"
174,"""La Canción""",J Balvin and Bad Bunny,"""Acapulco""",Jason Derulo
175,"""Permission to Dance""",BTS,"""Take My Breath""",The Weeknd
176,"""The Hills""",The Weeknd,"""Andrea""",Bad Bunny and Buscabulla
177,"""Doja""",Central Cee,"""Vegas""",Doja Cat
178,"""Hold My Hand""",Lady Gaga,"""Habit""",Sekai no Owari
179,"""Volví""",Aventura and Bad Bunny,"""The Business""",Tiësto
180,"""Shut Down""",Blackpink,"""I Love You So""",The Walters
181,"""Take My Breath""",The Weeknd,"""Wait for U""",Future featuring Drake and Tems
182,"""Dos Mil 16""",Bad Bunny,"""Rolling in the Deep""",Adele
183,"""Tacones Rojos""",Sebastián Yatra,"""Astronaut in the Ocean""",Masked Wolf
184,"""Better Days""","Neiked, Mae Muller and Polo G","""La Llevo Al Cielo""","Chris Jedi, Chencho Corleone, Anuel AA and Ñengo Flow"
185,"""Numb""",Marshmello and Khalid,"""Yoru ni Kakeru""",Yoasobi
186,"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa,"""Sacrifice""",The Weeknd
187,"""Mon Amour""",Zzolio,"""Yet to Come (The Most Beautiful Moment)""",BTS
188,"""Yo No Soy Celoso""",Bad Bunny,"""Un Coco""",Bad Bunny
189,"""Rock and a Hard Place""",Bailey Zimmerman,"""Wellerman""",Nathan Evans
190,"""Sacrifice""",The Weeknd,"""After Like""",Ive
191,"""Medallo""","Blessd, Justin Quiles and Lenny Tavárez","""Fearless""",Le Sserafim
192,"""Dos Oruguitas""",Sebastián Yatra,"""Afraid to Feel""",LF System
193,"""Santa Tell Me""",Ariana Grande,"""Payphone""",Maroon 5 featuring Wiz Khalifa
194,"""Zankyosanka""",Aimer,"""Hype Boy""",NewJeans
195,"""Wait a Minute!""",Willow,"""Don't You Worry""","Black Eyed Peas, Shakira and David Guetta"
196,"""Thunder""",Imagine Dragons,"""Dos Mil 16""",Bad Bunny
197,"""Billie Jean""",Michael Jackson,"""Someone like You""",Adele
198,"""The Family Madrigal""","Stephanie Beatriz, Olga Merediz and the Encanto cast","""That That""",Psy featuring Suga
199,"""It's Beginning to Look a Lot Like Christmas""",Michael Bublé,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton
200,"""Get Into It (Yuh)""",Doja Cat,"""Numb""",Marshmello and Khalid
