Title,Artist,URL
Closer,The Chainsmokers Featuring Halsey,https://www.youtube.com/watch?v=0zGcUoRlhmw
Rockin' Around The Christmas Tree,Brenda Lee,https://www.youtube.com/watch?v=TFsZy9t-qDc
Last Last,Burna Boy,https://www.youtube.com/watch?v=421w1j87fEM
Money,Lisa,https://www.youtube.com/watch?v=P01O1As5hLE
Ferrari,James Hype And Miggy Dela Rosa,https://www.youtube.com/watch?v=1j2IfI9FW90
Todo De Ti,Rauw Alejandro,https://www.youtube.com/watch?v=CFPLIaMpGrY
Love Dive,Ive,https://www.youtube.com/watch?v=Y8JFxS1HlDo
There'S Nothing Holdin' Me Back,Shawn Mendes,https://www.youtube.com/watch?v=dT2owtxkU8k
Wasted On You,Morgan Wallen,https://www.youtube.com/watch?v=O0WP3hd1qMo
The Kind Of Love We Make,Luke Combs,https://www.youtube.com/watch?v=x8Mc8Pbl06g
Cuff It,Beyoncé,https://www.youtube.com/watch?v=yrtWLyp5gLI
Fingers Crossed,Lauren Spencer-Smith,https://www.youtube.com/watch?v=mzwg5Ldkt5Q
Toxic,Boywithuke,https://www.youtube.com/watch?v=Mvaosumc4hU
Jingle Bell Rock,Bobby Helms,https://www.youtube.com/watch?v=Gqwk7uR1BI8
Only Love Can Hurt Like This,Paloma Faith,https://www.youtube.com/watch?v=PaKr9gWqwl4
I Hate U,Sza,https://www.youtube.com/watch?v=xEAEDKzjQTY
Every Breath You Take,The Police,https://www.youtube.com/watch?v=OMOGaugKpzs
Un Coco,Bad Bunny,https://www.youtube.com/watch?v=lH3d69sbvX4
Fancy Like,Walker Hayes,https://www.youtube.com/watch?v=G_zuB-ogIBw
Andrea,Bad Bunny And Buscabulla,https://www.youtube.com/watch?v=gjvTQTGogUM
La Canción,J Balvin And Bad Bunny,https://www.youtube.com/watch?v=LxOTsiV4tkQ
Permission To Dance,Bts,https://www.youtube.com/watch?v=CuklIb9d3fI
The Hills,The Weeknd,https://www.youtube.com/watch?v=yzTuBuRdAyA
Doja,Central Cee,https://www.youtube.com/watch?v=_VuJA-VQRcY
Hold My Hand,Lady Gaga,https://www.youtube.com/watch?v=O2CIAKVTOrc
Volví,Aventura And Bad Bunny,https://www.youtube.com/watch?v=ayd3yWr4tqU
Shut Down,Blackpink,https://www.youtube.com/watch?v=POe9SOEKotk
Take My Breath,The Weeknd,https://www.youtube.com/watch?v=rhTl_OyehF8
Dos Mil 16,Bad Bunny,https://www.youtube.com/watch?v=czx0dQe-3uk
Tacones Rojos,Sebastián Yatra,https://www.youtube.com/watch?v=Qz9gmiLBVFA
Better Days,"Neiked, Mae Muller And Polo G",https://www.youtube.com/watch?v=GQAOrCOknCY
Numb,Marshmello And Khalid,https://www.youtube.com/watch?v=mRXKnG2eugU
Sweetest Pie,Megan Thee Stallion And Dua Lipa,https://www.youtube.com/watch?v=K7JrX7PHGBE
Mon Amour,Zzolio,https://www.youtube.com/watch?v=7nk_zukRqdY
